83.646.984/0043-69PR610102SC      14266 14266 NF  1  24/08/2009S              330,48               12,00N                0,00                0,00                0,00              330,48                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
83.646.984/0014-24SC510102SC      14267 14267 NF  1  24/08/2009S              385,56               12,00N                0,00                0,00                0,00              385,56                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
83.646.984/0030-44SC510102SC      14268 14268 NF  1  24/08/2009S              826,20               12,00N                0,00                0,00                0,00              826,20                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
83.646.984/0022-34SC510102SC      14269 14269 NF  1  24/08/2009S              192,78               12,00N                0,00                0,00                0,00              192,78                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
83.646.984/0016-96SC510102SC      14270 14270 NF  1  24/08/2009S              275,40               12,00N                0,00                0,00                0,00              275,40                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
83.646.984/0009-67SC510102SC      14271 14271 NF  1  24/08/2009S              165,24               12,00N                0,00                0,00                0,00              165,24                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
83.646.984/0008-86SC510102SC      14272 14272 NF  1  24/08/2009S              165,24               12,00N                0,00                0,00                0,00              165,24                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
83.646.984/0067-36SC510102SC      14273 14273 NF  1  24/08/2009S              284,16               12,00N                0,00                0,00                0,00              284,16                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
83.646.984/0049-54SC510102SC      14274 14274 NF  1  24/08/2009S              548,28               12,00N                0,00                0,00                0,00              548,28                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
83.646.984/0037-10SC510102SC      14275 14275 NF  1  24/08/2009S              348,00               12,00N                0,00                0,00                0,00              348,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
83.646.984/0018-58SC510102SC      14276 14276 NF  1  24/08/2009S             1064,04               12,00N                0,00                0,00                0,00             1064,04                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
83.646.984/0072-01SC510102SC      14277 14277 NF  1  24/08/2009S              714,78               12,00N                0,00                0,00                0,00              714,78                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
372.319.106-10    MG610102SC      14278 14278 NF  1  25/08/2009N              315,36               12,00N                0,00                0,00                0,00              315,36                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
82.227.299/0001-86PR610102SC      14279 14279 NF  1  25/08/2009S              204,00               12,00N                0,00                0,00                0,00              204,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
02.550.752/0001-51SC510102SC      14280 14280 NF  1  25/08/2009S               51,00               12,00N                0,00                0,00                0,00               51,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
05.609.933/0001-02SC510102SC      14281 14281 NF  1  25/08/2009S              102,00               12,00N                0,00                0,00                0,00              102,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
05.648.483/0001-59RS610102SC      14282 14282 NF  1  25/08/2009S              153,00               12,00N                0,00                0,00                0,00              153,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
02.831.172/0001-32SC510102SC      14283 14283 NF  1  25/08/2009S              134,40               12,00N                0,00                0,00                0,00              134,40                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
02.831.172/0004-85SC510102SC      14284 14284 NF  1  25/08/2009S              268,80               12,00N                0,00                0,00                0,00              268,80                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
